[06/03/2017][15:00:00]  -system not Guerra de Reino será iniciada após 5 minutos. 
[06/03/2017][15:00:00]  -system not A Guerra de Reino desta semana será realizada no canal 1. 
[06/03/2017][15:00:08] IP: 189.13.226.146 WELMAL adm +snoop 
[06/03/2017][15:00:10] IP: 189.13.226.146 WELMAL etc,reqteleport char:CRAZY X:1046 Y:1724 price:700 
[06/03/2017][15:00:41] IP: 189.13.226.146 WELMAL adm +set 16 3198 
[06/03/2017][15:00:41] IP: 189.13.226.146 CRAZY - Set Item Equip [3198 0:0:0:0:0:0] -system 
[06/03/2017][15:00:42] IP: 186.219.27.34 KNUT etc,reqteleport char:-Malevola- X:1045 Y:1724 price:700 
[06/03/2017][15:00:46] IP: 186.219.27.34 KNUT etc,reqteleport char:-Malevola- X:2458 Y:2016 price:0 
[06/03/2017][15:00:47]  KNUT etc,changecity city:2 X:2458 Y:2016 
[06/03/2017][15:06:57]  -system not A Guerra entre Reinos foi iniciada. 
[06/03/2017][15:07:05] IP: 187.110.69.50 BIKINHO cra point: 10  type: 30 
[06/03/2017][15:07:05] IP: 187.110.69.50 BIKINHO skill delay skillnum: -209371968--209371968 
[06/03/2017][15:07:06] IP: 201.17.211.212 BADFIVE123 etc,reqteleport char:-OlhaOTchan X:1045 Y:1724 price:700 
[06/03/2017][15:07:09] IP: 189.13.226.146 WELMAL etc,reqteleport char:CRAZY X:2116 Y:2102 price:0 
[06/03/2017][15:07:09]  WELMAL etc,changecity city:0 X:2116 Y:2102 
[06/03/2017][15:07:13] IP: 201.17.211.212 BADFIVE123 etc,reqteleport char:-OlhaOTchan X:2118 Y:2100 price:0 
[06/03/2017][15:07:14]  BADFIVE123 etc,changecity city:0 X:2118 Y:2100 
[06/03/2017][15:07:22] IP: 189.13.226.146 WELMAL etc,reqteleport char:CRAZY X:1045 Y:1724 price:700 
[06/03/2017][15:07:34] IP: 187.110.69.50 BIKINHO etc,reqteleport char:lH2O X:1044 Y:1725 price:700 
[06/03/2017][15:07:39] IP: 187.110.69.50 BIKINHO etc,reqteleport char:lH2O X:2458 Y:2017 price:0 
[06/03/2017][15:07:39]  BIKINHO etc,changecity city:2 X:2458 Y:2017 
[06/03/2017][15:07:44] IP: 186.219.27.34 KNUT etc,reqteleport char:-Malevola- X:1044 Y:1708 price:700 
[06/03/2017][15:07:45]  -system etc,set citizen server:1 name:Cavalinho conn:5 
[06/03/2017][15:07:49] IP: 186.219.27.34 KNUT etc,reqteleport char:-Malevola- X:2116 Y:2100 price:0 
[06/03/2017][15:07:49]  KNUT etc,changecity city:0 X:2116 Y:2100 
[06/03/2017][15:07:59]  KNUT etc,applybonus name:-Malevola- bonustype:2 skillpos:0 
[06/03/2017][15:08:00]  KNUT etc,applybonus name:-Malevola- bonustype:2 skillpos:1 
[06/03/2017][15:08:01]  KNUT etc,applybonus name:-Malevola- bonustype:2 skillpos:2 
[06/03/2017][15:08:01]  KNUT etc,applybonus name:-Malevola- bonustype:2 skillpos:3 
[06/03/2017][15:08:06] IP: 201.17.211.212 -OlhaOTchan etc,inviteguild guild:6 target_name:Cavalinho 
[06/03/2017][15:08:08] IP: 187.110.69.50 BIKINHO etc,reqteleport char:lH2O X:1044 Y:1709 price:700 
[06/03/2017][15:08:13]  -system MOB GRID HAS EMPTY MOB 
[06/03/2017][15:08:13]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:14]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:14]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:14]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:14]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:14]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:14]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:14]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:15]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:16]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:16]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:16]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:16]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:16]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:16]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:16]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:16]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:17]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:18]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
