[06/03/2017][15:00:06]  -system err,No empty mobgrid(1): 5817 3358 1426 
[06/03/2017][15:00:06]  -system not Guerra de Reino será iniciada após 5 minutos. 
[06/03/2017][15:00:06]  -system not A Guerra de Reino desta semana será realizada no canal 1. 
[06/03/2017][15:00:10] IP: 186.207.139.153 GUGUPMG12 etc,reqteleport char:ZePikeno X:1044 Y:1725 price:700 
[06/03/2017][15:00:13] IP: 201.17.211.212 BADFIVE123 etc,reqteleport char:-OlhaOTchan X:1044 Y:1725 price:700 
[06/03/2017][15:00:15] IP: 186.207.139.153 GUGUPMG12 etc,reqteleport char:ZePikeno X:2456 Y:2017 price:0 
[06/03/2017][15:00:15]  GUGUPMG12 etc,changecity city:2 X:2456 Y:2017 
[06/03/2017][15:00:17] IP: 187.180.214.84 GALATICO097 sta,Login char:Sr-lMarechaL exp:800000000 level:39 conn:2 money:1877112875, store:0 
[06/03/2017][15:00:19]  GALATICO097 etc,changecity city:0 X:2097 Y:2106 
[06/03/2017][15:00:19] IP: 187.180.214.84 GALATICO097 clo,fd 22-2 
[06/03/2017][15:00:19] IP: 187.180.214.84 GALATICO097 etc,charlogout conn:2 name:Sr-lMarechaL 
[06/03/2017][15:00:21] IP: 187.15.146.82 MATANZA etc,reqteleport char:Banguela X:1044 Y:1725 price:700 
[06/03/2017][15:00:23] IP: 177.64.158.36 OMOURAJOAO sel_npc,npc:Set FM price:21137 item: Túnica_Guardiã : 1356.43.250.2.42.71.90 
[06/03/2017][15:00:24] IP: 200.185.197.183 IGORDINO etc,reqteleport char:ZEDASERVAS X:2366 Y:3908 price:0 
[06/03/2017][15:00:26] IP: 187.15.146.82 MATANZA etc,reqteleport char:Banguela X:3651 Y:3111 price:0 
[06/03/2017][15:00:26]  MATANZA etc,changecity city:3 X:3651 Y:3111 
[06/03/2017][15:00:28] IP: 200.185.197.183 IGORDINO etc,reqteleport char:ZEDASERVAS X:3250 Y:1703 price:0 
[06/03/2017][15:00:31] IP: 201.17.211.212 BADFIVE123 etc,reqteleport char:-OlhaOTchan X:2118 Y:2102 price:0 
[06/03/2017][15:00:32]  BADFIVE123 etc,changecity city:0 X:2118 Y:2102 
[06/03/2017][15:00:36] IP: 187.180.214.84 GALATICO097 CNFAccountLogin Mac: 1632412718.687817258.-1282882679.-1343153525 
[06/03/2017][15:00:37] IP: 187.15.146.82 MATANZA etc,reqteleport char:Banguela X:1054 Y:1711 price:0 
[06/03/2017][15:00:39]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:00:40]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:00:41] IP: 187.180.214.84 GALATICO097 sta,Login char:Sr-lMarechaL exp:800000000 level:39 conn:2 money:1877112875, store:0 
[06/03/2017][15:00:41] IP: 187.15.146.82 MATANZA etc,reqteleport char:Banguela X:2118 Y:2100 price:0 
[06/03/2017][15:00:41]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:00:41]  MATANZA etc,changecity city:0 X:2118 Y:2100 
[06/03/2017][15:00:42]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:00:42]  GALATICO097 etc,changecity city:0 X:2091 Y:2097 
[06/03/2017][15:00:43]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:44]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:44]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:45]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:46]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:46]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:48]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:00:50]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:00:51]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:00:51]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:00:52]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:00:53] IP: 189.72.123.56 BENEGAO CNFAccountLogin Mac: -1838473441.-2005054928.-1781367775.-814345743 
[06/03/2017][15:00:53]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:00:54]  -system err,No empty mobgrid(1): 5841 3426 1460 
[06/03/2017][15:00:54]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:55]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:55]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:00:56]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:00:59]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:00] IP: 177.204.47.51 HALLANEU sta,Login char:MiOjOoO exp:800000000 level:39 conn:14 money:1846165625, store:0 
[06/03/2017][15:01:00]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:01]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:01]  HALLANEU etc,changecity city:0 X:2088 Y:2148 
[06/03/2017][15:01:02] IP: 187.112.75.129 SOPRAPVP8 sta,Login char:ETAPORRA exp:800000000 level:39 conn:6 money:1793667735, store:0 
[06/03/2017][15:01:02]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:03]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:03]  SOPRAPVP8 etc,changecity city:0 X:2087 Y:2147 
[06/03/2017][15:01:04]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:01:05] IP: 189.72.123.56 BENEGAO sta,Login char:Benegrao exp:2039000000 level:354 conn:18 money:1988546600, store:0 
[06/03/2017][15:01:05]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:01:07]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:08]  BENEGAO etc,changecity city:3 X:3662 Y:3124 
[06/03/2017][15:01:09]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:10] IP: 138.204.140.117 LUANTOP etc,reqteleport char:SpankaNooB X:2366 Y:3906 price:0 
[06/03/2017][15:01:11]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:12]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:15] IP: 138.204.140.117 LUANTOP etc,reqteleport char:SpankaNooB X:3251 Y:1704 price:0 
[06/03/2017][15:01:20] IP: 187.110.69.50 BIKINHO sta,Login char:lH2O exp:800000000 level:39 conn:11 money:1041069778, store:0 
[06/03/2017][15:01:20]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:20]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:20]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21] IP: 189.72.123.56 BENEGAO etc,kingdom command 0  
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  BIKINHO etc,changecity city:0 X:2096 Y:2099 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
