# Id, SkillPoint, TargetType, ManaSpent, Delay, Range, InstanceType, InstanceValue, TickType, TickValue, AffectType, AffectValue, AffectTime, Act123, Act123, InstanceAttribute, TickAttribute, Aggressive, Maxtarget, PartyCheck, AffectResist, Passive Check, Name
0,24,3,15,4,2,4,100,0,0,0,0,0,10.0.0.10.0.0.0.0,10.0.0.10.0.0.0.0,4,0,1,13,0,3,0,Giro_da_Fúria
1,48,4,20,3,0,0,0,1,3,1,3,2,10.0.0.10.0.0.0.0,10.0.0.10.0.0.0.0,2,0,1,13,0,2,0,Toque_Sagrado
2,66,1,10,3,3,1,70,0,0,0,0,0,7.0.0.7.0.0.0.0,7.0.0.7.0.0.0.0,0,0,1,2,0,0,0,Perseguição
3,84,0,105,0,0,0,0,0,0,14,10,99,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,0,1,0,0,0,Possuído
4,72,1,30,1,2,4,300,0,0,0,0,0,9.0.0.9.0.0.0.0,9.0.0.9.0.0.0.0,0,0,1,1,0,0,0,Fanatismo
5,81,0,53,0,0,0,0,17,75,0,0,99,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,0,1,0,0,0,Aura_da_Vida
6,90,1,75,10,8,0,0,0,0,0,0,0,10.0.0.24.0.0.0.0,10.0.0.24.0.0.0.0,0,0,1,1,0,0,0,Fúria_Divina
7,224,3,100,6,4,3,500,0,0,0,0,0,24.0.0.24.0.0.0.0,24.0.0.5.0.0.0.0,4,0,1,8,0,3,0,Destino
8,21,1,12,15,1,1,60,0,0,0,0,0,8.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,0,0,1,1,0,0,0,Carga
9,45,0,0,0,0,0,0,0,0,0,0,0,20.0.0.24.0.0.0.0,20.0.0.8.0.0.0.0,0,0,0,0,0,0,1,Mestre_das_Armas
10,69,1,20,15,1,1,100,0,0,0,0,0,8.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,0,0,1,2,0,0,0,Golpe_Mortal
11,78,0,47,0,0,0,0,0,0,13,7,99,19.0.0.24.0.0.0.0,20.0.0.24.0.0.0.0,0,0,0,1,0,0,0,Assalto
12,72,1,33,15,1,1,200,0,0,0,0,0,7.0.0.5.0.0.0.0,7.0.0.5.0.0.0.0,0,0,1,2,0,0,0,Espada_da_Fênix
13,72,0,25,1,5,0,0,0,0,24,0,45,7.0.0.8.0.0.0.0,6.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Samaritano
14,90,0,0,0,0,0,0,0,0,0,0,0,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,0,0,0,0,1,Noção_de_Combate
15,218,0,150,25,0,0,0,0,0,31,150,75,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,0,1,0,0,0,Armadura_Crítica
16,24,0,130,1,0,0,0,3,50,3,50,4,20.0.0.24.0.0.0.0,20.0.0.8.0.0.0.0,0,0,2,13,0,0,0,Golpe_Duplo
17,45,3,13,3,3,2,150,0,0,0,0,0,8.0.0.5.0.0.0.0,8.0.0.7.0.0.0.0,1,0,1,5,0,1,0,Espada_Flamejante
18,60,1,17,3,3,1,250,0,0,0,0,0,7.0.0.7.0.0.0.0,7.0.0.7.0.0.0.0,0,0,1,2,0,0,0,Contra_Ataque
19,78,1,22,4,3,3,300,0,0,7,1,2,8.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,2,0,1,1,0,2,0,Lâmina_Congelantem
20,66,1,30,4,3,1,351,20,2,0,0,1,9.0.0.5.0.0.0.0,9.0.0.5.0.0.0.0,0,0,1,1,0,0,0,Ataque_da_Alma
21,87,1,38,4,3,1,390,20,10,0,0,3,9.0.0.5.0.0.0.0,9.0.0.5.0.0.0.0,4,0,1,1,0,3,0,Punhalada_Venenosa
22,90,1,0,9,3,2,500,0,0,0,0,0,9.0.0.7.0.0.0.0,9.0.0.7.0.0.0.0,1,0,1,1,0,1,0,Exterminar
23,227,3,150,5,4,3,430,0,0,1,2,3,8.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,2,0,1,8,0,2,0,Tempestade_de_Gelo
24,12,1,5,2,6,4,100,0,0,0,0,0,7.0.0.7.0.0.0.0,5.0.0.7.0.0.0.0,4,0,1,1,0,3,0,Flecha_Mágica
25,42,4,40,8,0,8,8,0,0,0,0,0,24.0.0.6.0.0.0.0,6.0.0.8.0.0.0.0,0,0,1,13,0,0,0,Desintoxicar
26,66,2,15,2,6,6,100,0,0,0,0,0,7.0.0.24.0.0.0.0,24.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Flash
27,48,2,12,3,6,6,100,0,0,0,0,0,6.0.0.24.0.0.0.0,24.0.0.6.0.0.0.0,0,0,0,1,0,0,0,Cura
28,78,1,30,3,5,4,65,0,0,0,0,0,5.0.0.5.0.0.0.0,5.0.0.5.0.0.0.0,4,0,1,2,0,0,0,Choque_Divino
29,48,2,30,4,6,6,101,0,0,0,0,0,7.0.0.24.0.0.0.0,6.0.0.8.0.0.0.0,0,0,0,13,1,0,0,Recuperar
30,102,4,150,10,1,4,450,0,0,0,0,0,24.0.0.8.0.0.0.0,19.0.0.8.0.0.0.0,4,0,1,5,0,3,0,Julgamento_Divino
31,281,1,80,45,5,8,0,0,0,0,0,0,7.0.0.24.0.0.0.0,24.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Renascimento
32,18,1,7,1,5,2,301,0,0,0,0,0,5.0.0.7.0.0.0.0,5.0.0.5.0.0.0.0,1,0,1,1,0,1,0,Ataque_de_Fogo
33,51,1,10,2,6,5,301,0,0,0,0,0,5.0.0.7.0.0.0.0,5.0.0.7.0.0.0.0,3,0,1,1,0,4,0,Relâmpago
34,69,1,15,2,6,3,351,0,0,1,2,1,5.0.0.7.0.0.0.0,5.0.0.7.0.0.0.0,2,0,1,1,0,2,0,Lança_de_Gelo
35,72,4,25,4,10,2,381,0,0,0,0,0,9.0.0.7.0.0.0.0,7.0.0.7.0.0.0.0,1,0,1,13,0,1,0,Tempestade_de_Meteoros
36,72,1,35,4,6,3,400,1,4,1,4,2,6.0.0.7.0.0.0.0,6.0.0.7.0.0.0.0,2,0,1,1,0,2,0,Nevasca
37,90,0,75,0,0,0,261,22,100,22,100,99,24.0.0.24.0.0.0.0,19.0.0.8.0.0.0.0,3,0,0,1,1,4,0,Trovão
38,81,1,85,5,6,2,450,0,0,0,0,0,9.0.0.7.0.0.0.0,9.0.0.7.0.0.0.0,1,0,1,1,0,1,0,Fênix_de_Fogo
39,224,4,25,4,6,2,500,0,0,0,0,0,9.0.0.7.0.0.0.0,7.0.0.7.0.0.0.0,1,0,1,13,0,1,0,Inferno
40,24,1,10,2,6,5,20,20,20,0,0,0,5.0.0.7.0.0.0.0,5.0.0.7.0.0.0.0,3,0,1,1,0,4,0,Névoa_Venenosa
41,54,0,52,3,4,0,0,0,0,2,1,99,10.0.0.24.0.0.0.0,9.0.0.8.0.0.0.0,0,0,0,13,1,0,0,Velocidade
42,39,0,0,1,0,9,0,0,0,2,1,99,17.0.0.24.0.0.0.0,17.0.0.6.0.0.0.0,0,0,0,1,1,0,0,Teleporte
43,63,0,52,1,6,0,0,0,0,11,15,99,24.0.0.24.0.0.0.0,9.0.0.6.0.0.0.0,0,0,0,1,0,0,0,Escudo_Mágico
44,75,0,78,3,4,0,0,0,0,9,90,99,10.0.0.24.0.0.0.0,10.0.0.8.0.0.0.0,0,0,0,13,1,0,0,Arma_Mágica
45,72,0,98,4,6,0,0,0,0,15,7,99,19.0.0.24.0.0.0.0,19.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Toque_de_Athena
46,81,0,130,1,0,0,0,0,0,18,0,99,20.0.0.24.0.0.0.0,20.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Controle_de_Mana
47,269,1,34,18,5,0,5,32,7,0,0,4,24.0.0.24.0.0.0.0,24.0.0.24.0.0.0.0,0,0,1,1,0,0,0,Cancelamento
48,24,1,8,1,6,2,231,0,0,0,0,0,5.0.0.8.0.0.0.0,9.0.0.5.0.0.0.0,1,0,1,1,0,1,0,Fera_Flamejante
49,36,1,35,30,6,12,0,0,0,0,0,0,8.0.0.6.0.0.0.0,8.0.0.8.0.0.0.0,0,0,1,1,0,0,0,Chamas_Etéreas
50,69,1,20,2,6,4,271,0,0,0,0,0,7.0.0.8.0.0.0.0,9.0.0.6.0.0.0.0,0,0,1,1,0,0,0,Som_das_Fadas
51,45,3,35,2,6,0,0,10,10,10,10,2,6.0.0.8.0.0.0.0,10.0.0.8.0.0.0.0,0,0,1,13,0,0,0,Enfraquecer
52,75,1,25,3,4,4,331,0,0,0,0,0,5.7.0.8.0.0.0.0,5.7.0.8.0.0.0.0,0,0,1,1,0,0,0,Furia_de_Gaia
53,78,0,105,15,0,0,0,0,0,25,10,99,9.0.0.8.0.0.0.0,9.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Proteção_Elemental
54,90,0,128,0,0,0,261,23,160,23,160,99,24.0.0.9.0.0.0.0,24.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Aura_Bestial
55,239,4,280,4,6,2,381,0,0,0,0,0,9.0.0.7.0.0.0.0,7.0.0.7.0.0.0.0,1,0,1,13,0,1,0,Espírito_Vingador
56,33,0,30,5,0,11,1,0,0,0,0,0,9.0.0.6.0.0.0.0,8.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Evocar_Condor
57,51,0,55,5,0,11,2,0,0,0,0,0,8.0.0.6.0.0.0.0,9.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Evocar_Javali_Selvagem
58,72,0,75,5,0,11,3,0,0,0,0,0,8.0.0.6.0.0.0.0,8.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Evocar_Lobo
59,72,0,90,5,0,11,4,0,0,0,0,0,9.0.0.6.0.0.0.0,8.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Evocar_Grande_Tigre
60,84,0,120,5,0,11,5,0,0,0,0,0,8.0.0.6.0.0.0.0,9.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Evocar_Urso_Selvagem
61,93,0,130,5,0,11,6,0,0,0,0,0,8.0.0.6.0.0.0.0,8.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Evocar_Gorila_Gigante
62,102,0,155,5,0,11,7,0,0,0,0,0,9.0.0.6.0.0.0.0,8.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Evocar_Dragão_Negro
63,220,0,240,5,0,11,8,0,0,0,0,0,8.0.0.6.0.0.0.0,8.0.0.6.0.0.0.0,0,0,0,1,0,0,0,Evocar_Succubus
64,33,0,72,20,0,0,0,0,0,16,1,99,8.0.0.8.0.0.0.0,8.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Lobisomem
65,45,0,0,0,0,0,0,0,0,0,0,0,8.0.0.2.0.0.0.0,2.0.0.2.0.0.0.0,0,0,0,0,0,0,1,Coração_de_Lobo
66,66,0,144,20,0,0,0,0,0,16,2,99,8.0.0.8.0.0.0.0,8.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Homem-Urso
67,45,0,0,0,0,0,0,0,0,0,0,0,8.0.0.2.0.0.0.0,2.0.0.2.0.0.0.0,0,0,0,0,0,0,1,Escudo_do_Tormento
68,99,0,260,20,0,0,0,0,0,16,3,99,24.0.0.8.0.0.0.0,8.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Astaroth
69,45,0,0,0,0,0,0,0,0,0,0,0,24.0.0.2.0.0.0.0,2.0.0.2.0.0.0.0,0,0,0,0,0,0,1,Asas_do_Inferno
70,132,0,390,20,0,0,0,0,0,16,4,99,24.0.0.8.0.0.0.0,8.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Titã
71,212,0,390,20,0,0,0,0,0,16,5,99,8.0.0.2.0.0.0.0,8.0.0.2.0.0.0.0,0,0,0,1,0,0,0,Éden
72,21,1,15,15,2,1,30,0,0,0,0,0,9.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,0,0,1,1,0,0,0,Ataque_Fatal
73,39,0,45,3,0,0,0,0,0,0,0,0,16.0.0.8.0.0.0.0,10.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Ilusão
74,66,0,0,0,0,0,0,0,0,0,1,99,10.0.0.24.0.0.0.0,10.0.0.2.0.0.0.0,0,0,0,0,0,0,1,Agressividade
75,51,0,30,6,0,0,0,0,0,27,1,99,8.0.0.7.0.0.0.0,9.0.0.7.0.0.0.0,2,0,0,1,0,2,0,Encantar_Gelo
76,84,0,42,6,0,0,0,0,0,19,15,99,20.0.0.9.0.0.0.0,19.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Imunidade
77,87,0,90,6,0,0,0,0,0,21,10,99,20.0.0.9.0.0.0.0,20.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Meditação
78,96,0,0,0,0,0,0,0,0,0,0,0,2.0.0.2.0.0.0.0,2.0.0.2.0.0.0.0,0,0,0,0,0,0,1,Lança_de_Ferro
79,233,6,75,12,6,0,0,0,0,0,0,0,7.0.0.9.0.0.0.0,9.0.0.8.0.0.0.0,0,0,1,9,0,0,0,Tempestade_de_Raios
80,18,1,10,15,2,1,30,0,0,0,0,0,9.0.0.7.0.0.0.0,8.0.0.7.0.0.0.0,0,0,1,1,0,0,0,Golpe_Felino
81,39,0,108,6,0,0,0,0,0,37,0,99,8.0.0.7.0.0.0.0,9.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Ligação_Espectral
82,69,0,15,6,0,0,0,0,0,29,1,8,19.0.0.24.0.0.0.0,19.0.0.8.0.0.0.0,0,0,0,1,0,0,1,Perícia_do_caçador
83,54,0,30,1,0,0,0,0,0,0,0,0,10.0.0.16.0.0.0.0,14.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Alquimia
84,84,0,30,1,0,0,0,0,0,0,0,0,10.0.0.16.0.0.0.0,14.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Extração
85,90,0,120,5,0,0,0,0,0,31,90,100,20.0.0.24.0.0.0.0,20.0.0.8.0.0.0.0,0,0,0,1,0,0,0,Escudo_Dourado
86,81,5,25,5,6,1,4,0,0,0,0,0,7.0.0.9.0.0.0.0,9.0.0.8.0.0.0.0,0,0,1,13,0,0,0,Explosão_Etérea
87,242,0,90,10,0,0,160,0,0,38,0,90,8.0.0.7.0.0.0.0,9.0.0.7.0.0.0.0,0,0,0,1,0,0,0,Troca_de_Espíritos
