12.03.2017.11.08.06 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.07 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.08 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.08 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.08 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.09 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.09 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.09 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.09 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:116 
12.03.2017.11.08.10 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.10 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.10 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.10 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.13 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.14 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.14 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.14 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.14 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.15 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.15 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.15 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.15 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.16 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.16 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.16 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.16 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.16 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.17 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.17 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.17 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
12.03.2017.11.08.18 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:117 
